,0,1
932,466.9,10.34
933,466.9,10.46
934,470.6,4.1
935,470.6,4.22
936,470.6,4.34
937,470.6,4.46
938,470.6,4.58
939,470.6,4.7
940,470.6,4.82
941,470.6,4.94
942,470.6,5.06
943,470.6,5.18
944,470.6,5.3
945,470.6,5.42
946,470.6,5.54
947,470.6,5.66
948,470.6,5.78
949,470.6,5.9
950,470.6,6.02
951,470.6,6.14
952,470.6,6.26
953,470.6,6.38
954,470.6,6.5
955,470.6,6.62
956,470.6,6.74
957,470.6,6.86
958,470.6,6.98
959,470.6,7.1
960,470.6,7.22
961,470.6,7.34
962,470.6,7.46
963,470.6,7.58
964,470.6,7.7
965,470.6,7.82
966,470.6,7.94
967,470.6,8.06
968,470.6,8.18
969,470.6,8.3
970,470.6,8.42
971,470.6,8.54
972,470.6,8.66
973,470.6,8.78
974,470.6,8.9
975,470.6,9.02
976,470.6,9.14
977,470.6,9.26
978,470.6,9.38
979,470.6,9.5
980,470.6,9.62
981,470.6,9.74
982,470.6,9.86
983,470.6,9.98
984,470.6,10.1
985,470.6,10.22
986,470.6,10.34
987,470.6,10.46
988,470.6,10.58
989,474.3,4.22
990,474.3,4.34
991,474.3,4.46
992,474.3,4.58
993,474.3,4.7
994,474.3,4.82
995,474.3,4.94
996,474.3,5.06
997,474.3,5.18
998,474.3,5.3
999,474.3,5.42
1000,474.3,5.54
1001,474.3,5.66
1002,474.3,5.78
1003,474.3,5.9
1004,474.3,6.02
1005,474.3,6.14
1006,474.3,6.26
1007,474.3,6.38
1008,474.3,6.5
1009,474.3,6.62
1010,474.3,6.74
1011,474.3,6.86
1012,474.3,6.98
1013,474.3,7.1
1014,474.3,7.22
1015,474.3,7.34
1016,474.3,7.46
1017,474.3,7.58
1018,474.3,7.7
1019,474.3,7.82
1020,474.3,7.94
1021,474.3,8.06
1022,474.3,8.18
1023,474.3,8.3
1024,474.3,8.42
1025,474.3,8.54
1026,474.3,8.66
1027,474.3,8.78
1028,474.3,8.9
1029,474.3,9.02
1030,474.3,9.14
1031,474.3,9.26
1032,474.3,9.38
1033,474.3,9.5
1034,474.3,9.62
1035,474.3,9.74
1036,474.3,9.86
1037,474.3,9.98
1038,474.3,10.1
1039,474.3,10.22
1040,474.3,10.34
1041,474.3,10.46
1042,474.3,10.58
1043,474.3,10.7
1044,474.3,10.82
1045,478,4.22
1046,478,4.34
1047,478,4.46
1048,478,4.58
1049,478,4.7
1050,478,4.82
1051,478,4.94
1052,478,5.06
1053,478,5.18
1054,478,5.3
1055,478,5.42
1056,478,5.54
1057,478,5.66
1058,478,5.78
1059,478,5.9
1060,478,6.02
1061,478,6.14
1062,478,6.26
1063,478,6.38
1064,478,6.5
1065,478,6.62
1066,478,6.74
1067,478,6.86
1068,478,6.98
1069,478,7.1
1070,478,7.22
1071,478,7.34
1072,478,7.46
1073,478,7.58
1074,478,7.7
1075,478,7.82
1076,478,7.94
1077,478,8.06
1078,478,8.18
1079,478,8.3
1080,478,8.42
1081,478,8.54
1082,478,8.66
1083,478,8.78
1084,478,8.9
1085,478,9.02
1086,478,9.14
1087,478,9.26
1088,478,9.38
1089,478,9.5
1090,478,9.62
1091,478,9.74
1092,478,9.86
1093,478,9.98
1094,478,10.1
1095,478,10.22
1096,478,10.34
1097,478,10.46
1098,478,10.58
1099,478,10.7
1100,478,10.82
1101,478,10.94
1102,481.7,4.22
1103,481.7,4.34
1104,481.7,4.46
1105,481.7,4.58
1106,481.7,4.7
1107,481.7,4.82
1108,481.7,4.94
1109,481.7,5.06
1110,481.7,5.18
1111,481.7,5.3
1112,481.7,5.42
1113,481.7,5.54
1114,481.7,5.66
