,Q_f_HPP [m^3/hr],P_f_RO [bar],RO_rr [%],q_f [m^3/hr],P_c [bar],S_c [mg/L],num_turbos [-],turbo_model [-],suction_pressure [bar],exhaust_pressure [bar],bypass_flowrate [m^3/hr],turbo_efficiency [%],valve_position [-],P_hpp_outlet [bar],hpp_efficiency [%,motor_efficiency [%],vfd_efficiency [%],sec_system [kWh/m^3],warning [-]
809,2002.5,58.49,44.5,3.8600073,58,64081,0,0,0,0,0,0,0,0,0,0,0,0,1
810,2268.5,59.85,30,14.53751889,51.69,53232,0,0,0,0,0,0,0,0,0,0,0,0,1
811,937,67.17,54.6,4.335078248,66.64,74134,1,AT 4150,1.01,1.4,0,69.9,Closed,46.46,84.7,95.2,97,2.96,0
812,1901.2,37.89,58.4,13.93442676,32.69,78615,0,0,0,0,0,0,0,0,0,0,0,0,1
813,1108.4,35.82,26.6,6.816412191,33.95,51063,0,0,0,0,0,0,0,0,0,0,0,0,1
814,1707.1,43.97,52.7,11.01689709,40.45,72030,0,0,0,0,0,0,0,0,0,0,0,0,1
815,794.9,51.96,48.7,11.46129286,47.94,67881,1,AT 4150,1.01,1.4,0,72.4,Closed,34.68,82.8,95,97,2.52,0
816,1877.4,43.86,29.1,4.707774997,42.99,52630,0,0,0,0,0,0,0,0,0,0,0,0,1
817,244.6,69.04,54.9,15.28601001,62.46,74487,0,0,0,0,0,0,0,0,0,0,0,0,1
818,2022.1,65.96,36.3,4.603103809,65.2,57550,0,0,0,0,0,0,0,0,0,0,0,0,1
819,877.4,55.29,30.3,12.1608087,49.6,53419,0,0,0,0,0,0,0,0,0,0,0,0,1
820,524.1,45.28,37.2,10.65648572,41.25,58160,1,AT 3250,1.01,1.4,0,73.1,Closed,26.98,81,94.5,97,2.61,0
821,709.8,31.25,50.5,6.28435938,30.07,69702,1,LPT 2000,1.01,1.4,0,116.3,Closed,14.74,82.3,94.9,97,1,0
822,263.9,67.09,47.4,8.691924368,64.74,66701,0,0,0,0,0,0,0,0,0,0,0,0,1
823,1239.9,29.41,59.6,4.894250656,28.78,80199,1,AT 7800,1.01,1.4,0,68.9,Closed,21.79,86,95.5,97,1.22,0
824,801.5,35.7,23.5,13.77154344,27.8,49246,1,AT 7800,1.01,1.4,0,74.2,Closed,20.7,83.9,95,97,3.01,0
825,328.2,66.23,42.1,4.31466289,65.61,62063,1,AT 1500,1.01,1.5,0,69.7,Closed,40.37,79,94,97,3.61,0
826,856.5,64,52.3,9.923783475,61.13,71621,1,AT 4150,1.01,1.4,0,70.9,Closed,43.8,84.2,95.1,97,2.93,0
827,348.5,28.62,52.1,13.34398172,23.41,71271,1,LPT 2000,1.01,1.4,0,66.1,Closed,21.66,79.2,94.1,97,1.52,0
828,738.1,64.57,31.7,12.03935867,59.08,54337,1,AT 4150,1.01,1.4,0,74.2,Closed,35.32,82.5,94.9,97,3.96,0
829,1189,60.42,32.9,9.212951253,57.26,55177,1,AT 6000,1.01,1.4,0,76.6,Closed,31.71,85.8,95.5,97,3.26,0
830,1638.7,37.98,35.9,10.74175215,33.83,57196,0,0,0,0,0,0,0,0,0,0,0,0,1
831,785.5,32.09,54.8,15.19856273,25.58,74256,1,AT 6000,1.01,1.4,0,68.9,Closed,24.56,82.7,95,97,1.57,0
832,1349.5,47.18,28.1,10.17388216,43.09,52004,0,0,0,0,0,0,0,0,0,0,0,0,1
833,464.8,29.67,45.7,5.949461383,28.54,65101,1,LPT 2000,1.01,1.4,0,74.1,Closed,18.75,80.5,94.4,97,1.46,0
834,1621.3,41.65,30.2,15.17712749,32.78,53310,0,0,0,0,0,0,0,0,0,0,0,0,1
835,2234.5,28.59,52.1,12.04935538,24.35,71311,0,0,0,0,0,0,0,0,0,0,0,0,1
836,231.1,30.13,50.9,14.46400334,23.91,70069,1,LPT 1000,1.01,1.4,0,65.3,Closed,22.92,77.5,93.6,97,1.7,0
837,825.7,69.8,34.6,6.440786429,68.29,56347,1,AT 4150,1.01,1.4,0,74.4,Closed,37.26,84,95.1,97,3.76,0
838,1290.2,41.98,21.4,14.57900781,32.92,48088,0,0,0,0,0,0,0,0,0,0,0,0,1
839,369.6,38.93,49.2,9.29082311,36.31,68336,1,LPT 1000,1.01,1.4,0,68.5,Closed,26.77,79.5,94.2,97,2,0
840,879.3,63.78,38.6,3.989112668,63.23,59259,1,AT 4150,1.01,1.4,0,74.8,Closed,35.38,84.3,95.1,97,3.18,0
841,2163.2,59.37,39.4,10.41107525,55.63,59824,0,0,0,0,0,0,0,0,0,0,0,0,1
842,719.4,56.65,21.3,15.44970697,46.46,48048,0,0,0,0,0,0,0,0,0,0,0,0,1
843,666.7,33.85,21.4,6.212807449,32.2,48111,1,AT 6000,1.01,1.4,0,73.2,Closed,16.13,82,94.8,97,2.6,0
844,442.7,64.36,49,15.00820291,57.49,68227,1,AT 2150,1.01,1.4,0,70.3,Closed,44.26,80.3,94.4,97,3.34,0
845,2147.5,50.51,34.7,7.766011467,48.31,56332,0,0,0,0,0,0,0,0,0,0,0,0,1
846,1620.4,66.84,39,5.734968598,65.7,59568,1,AT 7800,1.01,1.4,0,78,Closed,36.25,87.2,95.8,97,3.1,0
847,1004.1,69.34,45.4,11.32666975,65.24,64856,1,AT 4150,1.01,1.5,0,74.3,Closed,43.49,85,95.3,97,3.31,0
848,1093,33.24,58.5,13.10414469,28.64,78824,1,AT 7800,1.01,1.4,0,68.9,Closed,25.46,85.4,95.4,97,1.47,0
849,380.1,37.17,41.2,7.778476345,35.13,61223,1,LPT 1000,1.01,1.4,0,71.2,Closed,23.05,79.6,94.2,97,2.04,0
850,1065.2,56.93,52.4,8.301524417,54.92,71694,1,AT 6000,1.01,1.4,0,72.1,Closed,38.56,85.3,95.3,97,2.52,0
851,408.1,43.73,48.3,7.062859703,42.19,67494,1,AT 2150,1.01,1.4,0,70.4,Closed,28.89,79.9,94.3,97,2.19,0
852,1575.7,40.14,34.9,6.849227535,38.43,56507,0,0,0,0,0,0,0,0,0,0,0,0,1
853,1575.5,42.58,25.1,7.024895406,40.56,50203,0,0,0,0,0,0,0,0,0,0,0,0,1
854,1889.7,50.64,51.8,10.66592037,47.3,71020,0,0,0,0,0,0,0,0,0,0,0,0,1
855,1590,40.37,34.8,11.29204603,35.71,56374,0,0,0,0,0,0,0,0,0,0,0,0,1
856,1796.1,42.36,47.6,3.75848524,41.92,66832,0,0,0,0,0,0,0,0,0,0,0,0,1
857,1443.3,53.05,28.8,13.74661408,45.65,52479,0,0,0,0,0,0,0,0,0,0,0,0,1
858,117,30.38,43.6,10.95633111,26.45,63217,1,AT 875,1.01,1.4,0,64.9,Closed,21.21,74.5,92.9,97,1.92,0
859,127.9,29.11,41.4,12.83069144,23.58,61392,1,LPT 1000,1.01,1.4,0,65.5,Closed,20.59,74.9,93,97,1.95,0
860,341.7,61.26,35.6,15.25840392,52.85,57029,1,AT 2150,1.01,1.4,0,72.1,Closed,37.37,79.1,94.1,97,3.93,0
861,1165.1,49.9,37,7.674441645,47.81,57998,1,AT 6000,1.01,1.4,0,76.5,Closed,27.53,85.7,95.4,97,2.51,0
862,274.2,41.17,39.9,11.4092771,36.71,60199,1,AT 1500,1.01,1.4,0,69.6,Closed,26.4,78.2,93.8,97,2.48,0
863,1200.2,63.63,58.3,13.22923281,58.94,78653,1,AT 6000,1.01,1.4,0,69.4,Closed,46.99,85.9,95.5,97,2.76,0
864,1842.8,31.8,21.2,11.07253494,26.55,47954,0,0,0,0,0,0,0,0,0,0,0,0,1
865,567.4,48.16,44.1,10.19610727,44.78,63725,1,AT 3250,1.01,1.4,0,72.7,Closed,30.54,81.3,94.6,97,2.49,0
866,243.6,54.41,47.7,8.707052096,52.06,66976,0,0,0,0,0,0,0,0,0,0,0,0,1
867,1276.9,55.51,46.5,15.32375878,48.12,65877,1,AT 6000,1.01,1.4,0,75.6,Closed,36.61,86.2,95.5,97,2.66,0
868,605.4,65.51,55.8,8.235009825,63.62,75549,1,AT 3250,1.01,1.4,0,67.7,Closed,46.9,81.6,94.7,97,3.05,0
869,1649.1,67.13,51,10.06268262,64.12,70264,1,AT 7800,1.01,1.4,0,74.9,Closed,44.11,87.3,95.8,97,2.89,0
870,858.1,29.99,32.7,13.02603942,23.65,54959,1,AT 7800,1.01,1.4,0,74.2,Closed,18.88,84.2,95.1,97,1.95,0
871,1502.3,35.67,43.5,13.47917904,29.73,63139,0,0,0,0,0,0,0,0,0,0,0,0,1
872,1682,42.07,35.9,8.642461914,39.38,57177,0,0,0,0,0,0,0,0,0,0,0,0,1
873,2110.6,27.91,50.3,12.8576429,22.96,69440,0,0,0,0,0,0,0,0,0,0,0,0,1
874,2032.4,69.85,37.8,5.268530112,68.87,58659,1,AT 7800,1.01,2.9,0,79.3,Closed,37.31,88.2,96.1,97,3.25,0
875,2082.8,37.19,23.6,7.479114974,34.87,49340,0,0,0,0,0,0,0,0,0,0,0,0,1
876,775.1,41.86,29.5,6.920220778,40,52866,0,0,0,0,0,0,0,0,0,0,0,0,1
877,950,53.26,24.6,15.43623582,43.47,49932,1,AT 6000,1.01,1.4,0,75.2,Closed,29.42,84.7,95.2,97,4.1,0
878,865.5,49.19,44.8,10.1644835,45.86,64328,1,AT 4150,1.01,1.4,0,74.1,Closed,31,84.3,95.1,97,2.39,0
879,1653.1,56.55,44.1,9.933994852,53.34,63693,1,AT 7800,1.01,1.4,0,77.9,Closed,33.93,87.3,95.8,97,2.55,0
880,1983.3,29.26,21.5,14.58863108,20.19,48107,0,0,0,0,0,0,0,0,0,0,0,0,1
881,611.6,28.4,57.1,6.948537252,27.08,76976,1,LPT 2000,1.01,1.4,0,87.2,Closed,18.79,81.6,94.7,97,1.15,0
882,1905.2,66.47,27.9,15.06940916,57.48,51915,0,0,0,0,0,0,0,0,0,0,0,0,1
883,986.6,35.58,28.7,11.55707713,30.35,52362,1,AT 7800,1.01,1.4,0,75.6,Closed,19.97,84.9,95.3,97,2.34,0
884,1025.9,52.85,31.1,4.415432302,52.11,53920,1,AT 6000,1.01,1.4,0,75.8,Closed,26.35,85.1,95.3,97,2.88,0
885,1444.6,69.29,29.1,14.68856618,60.86,52650,1,AT 7800,1.01,1.8,0,77.6,Closed,36.82,86.7,95.7,97,4.25,0
886,515,47.97,50.5,6.678438187,46.64,69704,1,AT 3250,1.01,1.4,0,70.1,Closed,32.28,80.9,94.5,97,2.32,0
887,952,43.63,22.6,5.551441632,42.33,48756,1,AT 7800,1.01,1.4,0,74.9,Closed,19.9,84.7,95.2,97,2.97,0
888,1437.4,33.14,43.3,7.201424331,31.44,62977,0,0,0,0,0,0,0,0,0,0,0,0,1
889,1558.4,39.82,57.1,6.171065679,38.78,77061,0,0,0,0,0,0,0,0,0,0,0,0,1
890,1507.4,34.35,42.2,12.58407939,29.08,62067,0,0,0,0,0,0,0,0,0,0,0,0,1
891,2262.2,39.43,39.2,14.3566582,32.31,59652,0,0,0,0,0,0,0,0,0,0,0,0,1
892,2206.8,66.17,52.5,5.013962921,65.44,71892,0,0,0,0,0,0,0,0,0,0,0,0,1
893,926.5,29.62,51.9,5.384396839,28.77,71051,1,AT 6000,1.01,1.4,0,71.6,Closed,20.19,84.6,95.2,97,1.31,0
894,1845.2,36.62,42.7,4.270922279,36.01,62450,0,0,0,0,0,0,0,0,0,0,0,0,1
895,1374.9,61.13,39.8,5.699701513,60.02,60189,1,AT 6000,1.01,1.5,0,77.3,Closed,33.9,86.5,95.6,97,2.86,0
896,589.4,62.22,36.1,6.379386307,60.76,57371,1,AT 3250,1.01,1.4,0,73.4,Closed,34.38,81.5,94.7,97,3.43,0
897,1171.1,52.8,50.6,8.205582486,50.79,69824,1,AT 6000,1.01,1.4,0,73.5,Closed,34.88,85.8,95.5,97,2.34,0
898,1874.6,39.22,55.5,12.26687052,35.02,75098,0,0,0,0,0,0,0,0,0,0,0,0,1
899,340,48.25,35.3,11.13536559,43.75,56785,1,AT 2150,1.01,1.4,0,72.1,Closed,28.5,79.1,94.1,97,3,0
900,2138.2,27.75,37.4,11.21640528,23.31,58235,0,0,0,0,0,0,0,0,0,0,0,0,1
901,2059.8,53.76,50.7,13.11744207,48.63,69874,0,0,0,0,0,0,0,0,0,0,0,0,1
902,498.4,44.15,50.3,8.537585812,41.97,69460,1,AT 3250,1.01,1.4,0,70,Closed,30.03,80.8,94.5,97,2.17,0
903,1740,30.07,21.8,10.507572,25.38,48277,0,0,0,0,0,0,0,0,0,0,0,0,1
904,248.1,30.86,45,9.410399926,28.01,64442,1,LPT 1000,1.01,1.4,0,68.4,Closed,20.85,77.8,93.7,97,1.73,0
